	Swamp	Coast	City	Desert	Mountain	Volcano	Haunted
Filthy	4	1	0	1	1	2	3
Vile	4	1	0	1	1	2	3
Nauseating	4	1	0	1	1	2	3
Putrid	4	1	0	1	1	2	3
Rotted	4	1	0	1	1	2	3
Revolting	4	1	0	1	1	2	3
Blinding	0	4	0	3	2	3	2
Bright	0	4	0	3	2	3	2
Holy	0	4	0	3	2	3	2
Brilliant	0	4	0	3	2	3	2
Heavenly	0	4	0	3	2	3	2
Glorious	0	4	0	3	2	3	2
Shining	0	4	0	3	2	3	2
Gleaming	0	4	0	3	2	3	2
Unyielding	0	4	0	3	2	3	2
Amazing	0	4	0	3	2	3	2
Astonishing	0	4	0	3	2	3	2
Stunning	0	4	0	3	2	3	2
Unforgettable	0	4	0	3	2	3	2
Exceptionally Noticeable	0	4	0	3	2	3	2
Solar	0	4	0	3	2	3	2
Deafening	0	3	0	0	3	4	1
Loud	0	3	0	0	3	4	1
Amped	0	3	0	0	3	4	1
Noisy	0	3	0	0	3	4	1
Grinding	0	3	0	0	3	4	1
Roaring	0	3	0	0	3	4	1
Bellowing	0	3	0	0	3	4	1
Clamoring	0	3	0	0	3	4	1
Shouting	0	3	0	0	3	4	1
Ringing	0	3	0	0	3	4	1
Thunderous	0	3	0	0	3	4	1
Blaring	0	3	0	0	3	4	1
Ear-splitting	0	3	0	0	3	4	1
Facemelting	0	3	0	0	3	4	1
Full Volume	0	3	0	0	3	4	1
Heavy	1	3	4	0	3	3	1
Weighty	1	3	4	0	3	3	1
Significant	1	3	4	0	3	3	1
Serious	1	3	4	0	3	3	1
Thousand-Ton	1	3	4	0	3	3	1
Million-Pound	1	3	4	0	3	3	1
Crushing	1	3	4	0	3	3	1
Magnetic	1	3	4	0	3	3	1
Dense	1	3	4	0	3	3	1
Massive	1	3	4	0	3	3	1
Lead	1	3	4	0	3	3	1
Hefty	1	3	4	0	3	3	1
Fat	1	3	4	0	3	3	1
High Gravity	1	3	4	0	3	3	1
Unmovable	1	3	4	0	3	3	1
Dazzling	1	3	0	3	3	3	2
Stylish	1	3	0	3	3	3	2
Handsome	1	3	0	3	3	3	2
Pretty	1	3	0	3	3	3	2
Gorgeous	1	3	0	3	3	3	2
Good-looking	1	3	0	3	3	3	2
Attractive	1	3	0	3	3	3	2
Charming	1	3	0	3	3	3	2
Enchanting	1	3	0	3	3	3	2
Exquisite	1	3	0	3	3	3	2
Elegant	1	3	0	3	3	3	2
Graceful	1	3	0	3	3	3	2
Lovely	1	3	0	3	3	3	2
Dainty	1	3	0	3	3	3	2
Tasteful	1	3	0	3	3	3	2
Lustful	4	1	0	2	1	3	3
Sexy	4	1	0	2	1	3	3
Lewd	4	1	0	2	1	3	3
Sensual	4	1	0	2	1	3	3
Titillating	4	1	0	2	1	3	3
Salacious	4	1	0	2	1	3	3
Volumptous	4	1	0	2	1	3	3
Steamy	4	1	0	2	1	3	3
Lecherous	4	1	0	2	1	3	3
Vulgar	4	1	0	2	1	3	3
Romantic	4	1	0	2	1	3	3
Risqué	4	1	0	2	1	3	3
Shameless	4	1	0	2	1	3	3
Erotic	4	1	0	2	1	3	3
Seductive	4	1	0	2	1	3	3
